pid,creator,location,label,_date,description,current_location,source,order,layout,collection,thumbnail,manifest,full
obj1,Pratt Institute Students,"Brooklyn, NY","Schedule of Events for April 26, 1968 International Student Strike","April 26, 1968",schedule,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28750091,0,protest_item,protest,"/img/derivatives/simple/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,"/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg"
obj2,National Student Association,"Brooklyn, NY","Letter to Faculty Administration from Fern Tiger, National Student Association Coordinator","March 1, 1965",Letter written by Fern Tiger to the faculty and administration of Pratt Institute regarding a panel discussion of the U.S. involvement in Vietnam.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28744597,1,protest_item,protest,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,"/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg"
obj3,Student Peace Union,"Brooklyn, NY",Student Peace Union Open Letter,1962,flier,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28744596,2,protest_item,protest,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json,"/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg"
obj4,Educational Center for Peace,"Brooklyn, NY",Educational Center for Peace Committee on Environmental Awareness and Environmental Quality,1970,notes,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28739799,3,protest_item,protest,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json,"/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg"
obj5,,"Brooklyn, NY",Create for Peace,1970,poster,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28739794,4,protest_item,protest,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json,"/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg"
obj6,,"Brooklyn, NY",Free Child Care Co-Op,1970,poster,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28739795,5,protest_item,protest,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json,"/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg"
obj7,Pratt Students,"Brooklyn, NY",Pratt Students Against War,ca. 1970s,"Pratt Students Against War. The brochure states the intention of the brochure, schedule, and other information related to the strike.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752143,6,protest_item,protest,"/img/derivatives/iiif/images/obj7_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json,"/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg"
obj8,,"Brooklyn, NY",Declaration of the Strike,April 1968,"Summary of the strike held by the students of the School of Architecture, calling for the removal of Olindo Grossi as dean of the School of Architecture. The summary provides a chronology of the strike from 1965-1968.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28750073,7,protest_item,protest,"/img/derivatives/iiif/images/obj8_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json,"/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg"
obj9,,"Brooklyn, NY",Demonstration by School of Architecture,"April 5, 1968",Handwritten on envelope: 5 April 1968 3,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28752072,8,protest_item,protest,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json,"/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg"
obj10,,"Brooklyn, NY",Report About Pratt Students on Strike,"March 28, 1969",report,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,9,protest_item,protest,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json,"/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg"
